scene,frame,reset,tier,tier_name,n_gt,fresh_f1,reuse_f1,f1_gap,fresh_miou,reuse_miou,miou_gap,fresh_ms,reuse_ms,speedup,total_voxels,direct_voxels,jacobian_voxels,vfe_voxels,direct_fraction,jacobian_fraction,vfe_fraction,routed_fraction,point_reuse_fraction,mean_coverage,mean_purity
scene-0061,0,1,3,direct,77,0.125,0.125,0.0,0.5051,0.5051,0.0,148.51,158.59,0.936,43697,0,0,43697,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,1,0,3,direct,77,0.1333,0.0971,0.0362,0.6023,0.412,0.1902,193.57,84.18,2.299,39909,20799,0,19110,0.5212,0.0,0.4788,0.5212,0.7714,0.7082,0.6401
scene-0061,2,0,3,direct,85,0.1,0.0672,0.0328,0.5681,0.4186,0.1495,194.8,78.29,2.488,40808,13898,0,26910,0.3406,0.0,0.6594,0.3406,0.7999,0.5023,0.4873
scene-0061,3,0,3,direct,85,0.069,0.0517,0.0172,0.6201,0.5623,0.0578,184.89,69.5,2.661,39793,14381,0,25412,0.3614,0.0,0.6386,0.3614,0.7974,0.4952,0.4839
scene-0061,4,0,3,direct,85,0.1197,0.0862,0.0335,0.5169,0.4997,0.0172,192.6,80.74,2.385,39715,13958,0,25757,0.3515,0.0,0.6485,0.3515,0.7964,0.5055,0.4863
scene-0061,5,1,3,direct,93,0.0746,0.0746,0.0,0.5658,0.5658,0.0,191.65,192.07,0.998,48341,0,0,48341,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,6,0,3,direct,93,0.082,0.065,0.0169,0.6572,0.6261,0.0312,190.79,78.86,2.419,35754,19384,0,16370,0.5421,0.0,0.4579,0.5421,0.8162,0.7903,0.6915
scene-0061,7,0,3,direct,93,0.112,0.0813,0.0307,0.5589,0.5008,0.0582,183.5,69.61,2.636,34849,10613,0,24236,0.3045,0.0,0.6955,0.3045,0.8081,0.4933,0.4597
scene-0061,8,0,3,direct,102,0.1045,0.093,0.0115,0.5054,0.4616,0.0439,184.31,69.21,2.663,33213,10513,0,22700,0.3165,0.0,0.6835,0.3165,0.8086,0.5029,0.468
scene-0061,9,0,3,direct,102,0.1111,0.0763,0.0348,0.571,0.482,0.089,186.97,78.57,2.38,32849,11098,0,21751,0.3378,0.0,0.6622,0.3378,0.817,0.4965,0.4727
scene-0061,10,1,3,direct,102,0.0889,0.0889,0.0,0.5461,0.5461,0.0,190.79,191.93,0.994,41544,0,0,41544,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,11,0,3,direct,102,0.0714,0.073,-0.0016,0.6311,0.4929,0.1382,189.81,80.87,2.347,34569,16775,0,17794,0.4853,0.0,0.5147,0.4853,0.8165,0.7441,0.6365
scene-0061,12,0,3,direct,109,0.0839,0.0845,-0.0006,0.7087,0.659,0.0496,197.21,77.35,2.549,35164,11692,0,23472,0.3325,0.0,0.6675,0.3325,0.8106,0.5027,0.4752
scene-0061,13,0,3,direct,109,0.0811,0.1007,-0.0196,0.6256,0.5339,0.0916,198.32,80.87,2.452,36537,11657,0,24880,0.319,0.0,0.681,0.319,0.8283,0.5075,0.4796
scene-0061,14,0,3,direct,109,0.0764,0.0676,0.0089,0.569,0.6366,-0.0675,195.0,79.24,2.461,37475,13572,0,23903,0.3622,0.0,0.6378,0.3622,0.8207,0.5113,0.4923
scene-0061,15,1,3,direct,117,0.0645,0.0645,0.0,0.6733,0.6733,0.0,194.85,196.42,0.992,47789,0,0,47789,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,16,0,3,direct,117,0.0667,0.0541,0.0126,0.5961,0.6007,-0.0047,196.29,81.74,2.401,37015,20099,0,16916,0.543,0.0,0.457,0.543,0.8423,0.7962,0.6973
scene-0061,17,0,3,direct,117,0.1013,0.094,0.0073,0.6045,0.615,-0.0105,194.9,82.9,2.351,39053,12247,0,26806,0.3136,0.0,0.6864,0.3136,0.8301,0.5098,0.4774
scene-0061,18,0,3,direct,119,0.0988,0.0909,0.0079,0.6292,0.6082,0.0209,193.24,77.65,2.489,38283,12960,0,25323,0.3385,0.0,0.6615,0.3385,0.8301,0.5234,0.4987
scene-0061,19,0,3,direct,119,0.0755,0.0779,-0.0025,0.6971,0.6748,0.0223,195.2,79.58,2.453,39923,13834,0,26089,0.3465,0.0,0.6535,0.3465,0.8338,0.5237,0.5032
scene-0061,20,1,3,direct,123,0.0925,0.0925,0.0,0.6087,0.6087,0.0,196.05,194.52,1.008,49429,0,0,49429,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,21,0,3,direct,123,0.069,0.0875,-0.0185,0.6747,0.5562,0.1184,194.82,77.19,2.524,37913,20877,0,17036,0.5507,0.0,0.4493,0.5507,0.8482,0.802,0.7031
scene-0061,22,0,3,direct,123,0.0994,0.1119,-0.0125,0.6476,0.6145,0.0331,198.44,80.34,2.47,38544,12530,0,26014,0.3251,0.0,0.6749,0.3251,0.8319,0.4966,0.473
scene-0061,23,0,3,direct,126,0.0988,0.0933,0.0054,0.6176,0.6262,-0.0086,193.69,78.5,2.467,39370,12717,0,26653,0.323,0.0,0.677,0.323,0.8342,0.5099,0.4824
scene-0061,24,0,3,direct,126,0.0755,0.1039,-0.0284,0.6705,0.6441,0.0265,195.32,81.52,2.396,39103,13398,0,25705,0.3426,0.0,0.6574,0.3426,0.834,0.5124,0.4871
scene-0061,25,1,3,direct,128,0.1065,0.1065,0.0,0.618,0.618,0.0,193.36,190.05,1.017,49719,0,0,49719,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,26,0,3,direct,128,0.0875,0.0755,0.012,0.6894,0.691,-0.0016,192.22,80.01,2.403,37491,20523,0,16968,0.5474,0.0,0.4526,0.5474,0.8502,0.7806,0.6926
scene-0061,27,0,3,direct,135,0.1091,0.0833,0.0258,0.5994,0.7148,-0.1154,191.91,77.55,2.475,38107,13100,0,25007,0.3438,0.0,0.6562,0.3438,0.8277,0.5077,0.4883
scene-0061,28,0,3,direct,135,0.097,0.0838,0.0131,0.521,0.5429,-0.0219,191.03,79.68,2.397,39461,12561,0,26900,0.3183,0.0,0.6817,0.3183,0.829,0.4907,0.4633
scene-0061,29,0,3,direct,135,0.0936,0.0838,0.0097,0.5646,0.5766,-0.012,191.03,77.11,2.477,39959,12982,0,26977,0.3249,0.0,0.6751,0.3249,0.8253,0.4937,0.4689
scene-0061,30,1,3,direct,136,0.1006,0.1006,0.0,0.6834,0.6834,0.0,189.01,189.88,0.995,49293,0,0,49293,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,31,0,3,direct,136,0.093,0.0947,-0.0017,0.6654,0.5321,0.1333,181.86,72.14,2.521,37596,18506,0,19090,0.4922,0.0,0.5078,0.4922,0.8428,0.7394,0.6406
scene-0061,32,0,3,direct,140,0.1065,0.0814,0.0251,0.4676,0.5049,-0.0373,189.05,73.88,2.559,38201,12001,0,26200,0.3142,0.0,0.6858,0.3142,0.8323,0.4849,0.4548
scene-0061,33,0,3,direct,140,0.0706,0.071,-0.0004,0.6732,0.633,0.0401,186.67,71.8,2.6,41364,13048,0,28316,0.3154,0.0,0.6846,0.3154,0.8244,0.4811,0.4485
scene-0061,34,0,3,direct,140,0.0925,0.069,0.0235,0.5779,0.5187,0.0592,191.55,73.85,2.594,40364,13977,0,26387,0.3463,0.0,0.6537,0.3463,0.836,0.5088,0.4801
scene-0061,35,1,3,direct,142,0.1196,0.1196,0.0,0.5501,0.5501,0.0,190.8,191.73,0.995,47501,0,0,47501,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,36,0,3,direct,142,0.1143,0.113,0.0013,0.6475,0.5394,0.108,193.65,76.51,2.531,40066,19193,0,20873,0.479,0.0,0.521,0.479,0.841,0.708,0.6166
scene-0061,37,0,3,direct,142,0.1143,0.1287,-0.0144,0.5449,0.5831,-0.0383,193.92,78.46,2.472,35824,13349,0,22475,0.3726,0.0,0.6274,0.3726,0.8739,0.5665,0.5303
scene-0061,38,0,3,direct,146,0.0889,0.1183,-0.0295,0.6715,0.6126,0.0589,192.07,76.88,2.498,38882,12243,0,26639,0.3149,0.0,0.6851,0.3149,0.8527,0.4864,0.4571
scene-0061,39,0,3,direct,146,0.0978,0.0994,-0.0016,0.6252,0.6216,0.0035,193.92,77.25,2.51,39315,13022,0,26293,0.3312,0.0,0.6688,0.3312,0.8528,0.5097,0.4771
scene-0061,40,1,3,direct,147,0.1263,0.1263,0.0,0.5833,0.5833,0.0,194.82,195.47,0.997,49310,0,0,49310,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,41,0,3,direct,147,0.1319,0.1209,0.011,0.5771,0.6088,-0.0317,195.11,76.94,2.536,39340,19660,0,19680,0.4997,0.0,0.5003,0.4997,0.8201,0.7238,0.6348
scene-0061,42,0,3,direct,151,0.0989,0.0663,0.0326,0.4757,0.5498,-0.0741,194.01,77.75,2.495,37413,12365,0,25048,0.3305,0.0,0.6695,0.3305,0.889,0.5018,0.4759
scene-0061,43,0,3,direct,151,0.1036,0.0761,0.0275,0.4569,0.4957,-0.0388,193.42,76.81,2.518,37153,12144,0,25009,0.3269,0.0,0.6731,0.3269,0.8843,0.51,0.4777
scene-0061,44,0,3,direct,151,0.1064,0.0745,0.0319,0.5707,0.5432,0.0276,195.1,76.54,2.549,35261,12712,0,22549,0.3605,0.0,0.6395,0.3605,0.8946,0.5638,0.525
scene-0061,45,1,3,direct,155,0.0808,0.0808,0.0,0.55,0.55,0.0,193.38,191.4,1.01,47848,0,0,47848,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,46,0,3,direct,155,0.1053,0.0833,0.0219,0.5865,0.4689,0.1176,190.54,76.03,2.506,35156,17935,0,17221,0.5102,0.0,0.4898,0.5102,0.9055,0.7623,0.6643
scene-0061,47,0,3,direct,153,0.0615,0.0909,-0.0294,0.5605,0.4247,0.1358,190.41,77.65,2.452,35265,11202,0,24063,0.3177,0.0,0.6823,0.3177,0.8887,0.51,0.4763
scene-0061,48,0,3,direct,153,0.125,0.0733,0.0517,0.4767,0.5219,-0.0453,194.14,78.09,2.486,34941,11659,0,23282,0.3337,0.0,0.6663,0.3337,0.8858,0.53,0.4945
scene-0061,49,0,3,direct,153,0.1095,0.0838,0.0257,0.5236,0.5821,-0.0585,191.94,80.32,2.39,36616,11752,0,24864,0.321,0.0,0.679,0.321,0.898,0.5146,0.4767
scene-0061,50,1,3,direct,150,0.1176,0.1176,0.0,0.5105,0.5105,0.0,180.66,194.42,0.929,43708,0,0,43708,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,51,0,3,direct,150,0.0745,0.0421,0.0324,0.4708,0.6805,-0.2096,195.12,75.23,2.594,35646,16349,0,19297,0.4586,0.0,0.5414,0.4586,0.8742,0.7071,0.6073
scene-0061,52,0,3,direct,148,0.0782,0.0678,0.0104,0.5452,0.6701,-0.1249,195.11,72.67,2.685,30648,11139,0,19509,0.3634,0.0,0.6366,0.3634,0.9113,0.5867,0.5365
scene-0061,53,0,3,direct,148,0.0749,0.0753,-0.0004,0.6777,0.678,-0.0003,189.32,76.9,2.462,33253,10872,0,22381,0.3269,0.0,0.6731,0.3269,0.8945,0.5299,0.4891
scene-0061,54,0,3,direct,148,0.0749,0.0847,-0.0098,0.6367,0.6252,0.0116,190.39,77.95,2.442,33513,10872,0,22641,0.3244,0.0,0.6756,0.3244,0.9019,0.5169,0.4768
scene-0061,55,1,3,direct,143,0.0741,0.0741,0.0,0.6607,0.6607,0.0,188.12,194.39,0.968,41964,0,0,41964,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,56,0,3,direct,143,0.0833,0.0791,0.0042,0.7123,0.6581,0.0542,188.8,77.14,2.448,33919,16053,0,17866,0.4733,0.0,0.5267,0.4733,0.8996,0.7046,0.6138
scene-0061,57,0,3,direct,135,0.0824,0.0838,-0.0015,0.7055,0.6951,0.0104,188.2,73.08,2.575,31632,10999,0,20633,0.3477,0.0,0.6523,0.3477,0.911,0.5505,0.5113
scene-0061,58,0,3,direct,135,0.0833,0.0838,-0.0005,0.7617,0.7151,0.0466,189.9,76.15,2.494,33738,11190,0,22548,0.3317,0.0,0.6683,0.3317,0.8996,0.5185,0.4801
scene-0061,59,0,3,direct,135,0.0727,0.0736,-0.0009,0.7351,0.7686,-0.0335,183.12,71.32,2.568,31224,11058,0,20166,0.3542,0.0,0.6458,0.3542,0.9172,0.555,0.5131
scene-0061,60,1,3,direct,124,0.0881,0.0881,0.0,0.7388,0.7388,0.0,192.13,191.34,1.004,43126,0,0,43126,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,61,0,3,direct,124,0.0833,0.0843,-0.001,0.7286,0.7101,0.0186,190.04,78.94,2.407,35113,16191,0,18922,0.4611,0.0,0.5389,0.4611,0.8975,0.7026,0.6044
scene-0061,62,0,3,direct,121,0.0875,0.0843,0.0032,0.7479,0.729,0.019,178.41,66.25,2.693,31241,10738,0,20503,0.3437,0.0,0.6563,0.3437,0.9303,0.5419,0.5051
scene-0061,63,0,3,direct,121,0.0864,0.0859,0.0005,0.7544,0.7131,0.0413,185.88,72.29,2.571,33911,11179,0,22732,0.3297,0.0,0.6703,0.3297,0.904,0.5254,0.4908
scene-0061,64,0,3,direct,121,0.0859,0.0848,0.001,0.7611,0.7508,0.0103,188.92,73.07,2.586,32293,11550,0,20743,0.3577,0.0,0.6423,0.3577,0.9218,0.5812,0.5302
scene-0061,65,1,3,direct,121,0.1019,0.1019,0.0,0.7034,0.7034,0.0,188.83,191.47,0.986,43179,0,0,43179,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,66,0,3,direct,121,0.1067,0.1053,0.0014,0.7295,0.6365,0.0931,194.92,75.5,2.582,30924,16825,0,14099,0.5441,0.0,0.4559,0.5441,0.9401,0.8375,0.7208
scene-0061,67,0,3,direct,121,0.1,0.1026,-0.0026,0.6947,0.6769,0.0177,193.7,78.62,2.464,34432,11688,0,22744,0.3395,0.0,0.6605,0.3395,0.9168,0.5508,0.5036
scene-0061,68,0,3,direct,122,0.0881,0.0727,0.0153,0.7462,0.7254,0.0208,191.68,78.43,2.444,34209,11869,0,22340,0.347,0.0,0.653,0.347,0.9166,0.5504,0.5031
scene-0061,69,0,3,direct,122,0.0809,0.0848,-0.0039,0.7438,0.7168,0.027,192.9,76.38,2.526,34557,12095,0,22462,0.35,0.0,0.65,0.35,0.9221,0.5649,0.5232
scene-0061,70,1,3,direct,124,0.0848,0.0848,0.0,0.7388,0.7388,0.0,185.9,190.39,0.976,43875,0,0,43875,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,71,0,3,direct,124,0.0982,0.0897,0.0084,0.6563,0.7604,-0.104,193.38,73.88,2.618,35167,15816,0,19351,0.4497,0.0,0.5503,0.4497,0.9119,0.7312,0.6228
scene-0061,72,0,3,direct,118,0.1039,0.0903,0.0136,0.6741,0.7292,-0.0551,190.69,72.71,2.623,32233,10854,0,21379,0.3367,0.0,0.6633,0.3367,0.9392,0.596,0.5426
scene-0061,73,0,3,direct,118,0.0958,0.1006,-0.0048,0.7172,0.7168,0.0004,188.79,78.32,2.41,34519,11992,0,22527,0.3474,0.0,0.6526,0.3474,0.9205,0.5756,0.5311
scene-0061,74,0,3,direct,118,0.0769,0.0759,0.001,0.7896,0.7701,0.0195,188.92,73.08,2.585,34257,13871,0,20386,0.4049,0.0,0.5951,0.4049,0.9057,0.5394,0.5135
scene-0061,75,1,3,direct,115,0.1026,0.1026,0.0,0.7329,0.7329,0.0,194.14,194.71,0.997,41218,0,0,41218,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scene-0061,76,0,3,direct,115,0.1039,0.1067,-0.0028,0.7188,0.7145,0.0044,193.75,78.45,2.47,30873,19211,0,11662,0.6223,0.0,0.3777,0.6223,0.9424,0.8268,0.7611
scene-0061,77,0,3,direct,112,0.0994,0.0921,0.0073,0.6981,0.7434,-0.0453,197.23,79.64,2.477,30852,11413,0,19439,0.3699,0.0,0.6301,0.3699,0.925,0.5683,0.5313
scene-0061,78,0,3,direct,112,0.1006,0.1067,-0.006,0.7065,0.6942,0.0123,189.45,66.91,2.831,30666,11115,0,19551,0.3625,0.0,0.6375,0.3625,0.9459,0.5957,0.5432
scene-0061,79,0,3,direct,112,0.1053,0.1088,-0.0036,0.7054,0.6907,0.0146,184.97,66.74,2.771,33096,12344,0,20752,0.373,0.0,0.627,0.373,0.9345,0.5818,0.5418
