model,dataset,scene,frame,reset,tier,n_gt,fresh_f1,reuse_f1,f1_gap,fresh_miou,reuse_miou,miou_gap,baseline_ms,optimized_ms,speedup,baseline_power_w,optimized_power_w,power_reduction_percent,baseline_energy_j,optimized_energy_j,energy_reduction_percent
3dssd,kitti_raw,2011_09_26_drive_0001_sync,0,1,3,4,0.8571,0.8571,0.0,0.6884,0.6884,0.0,88.41,102.35,0.864,37.828,48.98,-29.479,3.344286,5.013082,-49.9
3dssd,kitti_raw,2011_09_26_drive_0001_sync,1,0,3,4,1.0,1.0,0.0,0.6533,0.6968,-0.0434,69.78,66.01,1.057,43.67,46.469,-6.41,3.047448,3.067673,-0.664
3dssd,kitti_raw,2011_09_26_drive_0001_sync,2,0,3,4,0.8571,0.6667,0.1905,0.7879,0.7662,0.0216,69.31,59.43,1.166,43.508,49.425,-13.599,3.01554,2.937203,2.598
3dssd,kitti_raw,2011_09_26_drive_0001_sync,3,0,3,4,0.8571,0.6667,0.1905,0.7459,0.7566,-0.0107,70.38,58.57,1.202,45.83,51.075,-11.445,3.225629,2.991236,7.267
3dssd,kitti_raw,2011_09_26_drive_0001_sync,4,0,3,4,0.8571,0.8571,0.0,0.7549,0.7783,-0.0234,70.72,58.87,1.201,44.291,50.714,-14.5,3.132492,2.985738,4.685
3dssd,kitti_raw,2011_09_26_drive_0001_sync,5,1,3,4,0.8571,0.8571,0.0,0.7113,0.7195,-0.0082,67.99,55.39,1.227,45.579,52.797,-15.835,3.098852,2.924371,5.631
3dssd,kitti_raw,2011_09_26_drive_0001_sync,6,0,3,4,0.8571,0.8571,0.0,0.7949,0.8376,-0.0427,66.42,56.07,1.184,47.138,52.074,-10.471,3.1309,2.920005,6.736
3dssd,kitti_raw,2011_09_26_drive_0001_sync,7,0,3,4,0.8571,0.8571,0.0,0.7816,0.7393,0.0423,66.25,55.56,1.192,47.192,49.088,-4.017,3.126363,2.727379,12.762
3dssd,kitti_raw,2011_09_26_drive_0001_sync,8,0,3,4,0.8571,0.8571,0.0,0.8306,0.8265,0.0041,66.7,55.67,1.198,47.549,49.511,-4.127,3.17172,2.756034,13.106
3dssd,kitti_raw,2011_09_26_drive_0001_sync,9,0,3,4,0.75,0.8571,-0.1071,0.8464,0.848,-0.0016,66.53,56.39,1.18,43.391,48.277,-11.262,2.886866,2.722559,5.692
3dssd,kitti_raw,2011_09_26_drive_0001_sync,10,1,3,4,1.0,1.0,0.0,0.7566,0.7814,-0.0248,66.77,55.42,1.205,43.648,50.516,-15.733,2.914395,2.799501,3.942
3dssd,kitti_raw,2011_09_26_drive_0001_sync,11,0,3,4,0.8571,0.8571,0.0,0.7763,0.8192,-0.0428,65.62,57.05,1.15,44.182,49.312,-11.611,2.899353,2.813344,2.967
3dssd,kitti_raw,2011_09_26_drive_0001_sync,12,0,3,4,1.0,1.0,0.0,0.8108,0.7809,0.0298,66.72,56.44,1.182,43.576,47.063,-8.003,2.907524,2.656348,8.639
3dssd,kitti_raw,2011_09_26_drive_0001_sync,13,0,3,4,0.8571,0.6667,0.1905,0.8738,0.8605,0.0133,66.64,56.38,1.182,43.775,48.697,-11.243,2.917041,2.745564,5.878
3dssd,kitti_raw,2011_09_26_drive_0001_sync,14,0,3,4,0.8889,0.8889,0.0,0.7719,0.7613,0.0106,68.17,55.41,1.23,46.893,51.144,-9.065,3.196672,2.833804,11.351
3dssd,kitti_raw,2011_09_26_drive_0001_sync,15,1,3,4,0.6667,0.8889,-0.2222,0.8237,0.7615,0.0621,66.88,56.42,1.185,43.835,49.83,-13.677,2.931673,2.811443,4.101
3dssd,kitti_raw,2011_09_26_drive_0001_sync,16,0,3,4,0.75,0.75,0.0,0.7852,0.8581,-0.0729,66.81,56.15,1.19,47.565,50.027,-5.177,3.17771,2.808837,11.608
3dssd,kitti_raw,2011_09_26_drive_0001_sync,17,0,3,4,0.75,0.75,0.0,0.8227,0.804,0.0187,66.1,55.46,1.192,43.681,50.121,-14.745,2.887205,2.77954,3.729
3dssd,kitti_raw,2011_09_26_drive_0001_sync,18,0,3,5,0.9091,0.8,0.1091,0.82,0.8441,-0.0241,70.06,56.57,1.238,48.791,49.331,-1.106,3.418248,2.790699,18.359
3dssd,kitti_raw,2011_09_26_drive_0001_sync,19,0,3,5,0.9091,0.7273,0.1818,0.8025,0.8258,-0.0233,66.66,55.02,1.212,43.4,51.359,-18.338,2.893207,2.825623,2.336
3dssd,kitti_raw,2011_09_26_drive_0001_sync,20,1,3,6,0.9231,0.7273,0.1958,0.7815,0.8382,-0.0567,67.38,56.07,1.202,43.741,48.505,-10.892,2.947467,2.719671,7.729
3dssd,kitti_raw,2011_09_26_drive_0001_sync,21,0,3,5,0.6667,0.6,0.0667,0.8563,0.802,0.0543,69.28,55.61,1.246,46.941,52.367,-11.558,3.252174,2.912275,10.451
3dssd,kitti_raw,2011_09_26_drive_0001_sync,22,0,3,5,0.7273,0.9091,-0.1818,0.8136,0.8361,-0.0225,67.31,54.98,1.224,45.635,49.455,-8.372,3.071625,2.719082,11.477
3dssd,kitti_raw,2011_09_26_drive_0001_sync,23,0,3,5,0.8,0.8,0.0,0.8358,0.7832,0.0526,66.84,56.55,1.182,44.206,48.307,-9.277,2.954901,2.731526,7.559
3dssd,kitti_raw,2011_09_26_drive_0001_sync,24,0,3,5,0.8333,0.9091,-0.0758,0.842,0.8176,0.0244,66.71,55.12,1.21,44.055,49.192,-11.662,2.939048,2.711683,7.736
3dssd,kitti_raw,2011_09_26_drive_0001_sync,25,1,3,5,0.9091,0.9091,0.0,0.8559,0.8184,0.0375,67.35,55.17,1.221,43.251,49.069,-13.452,2.913085,2.707223,7.067
3dssd,kitti_raw,2011_09_26_drive_0001_sync,26,0,3,5,0.9091,0.7273,0.1818,0.8181,0.8752,-0.0571,66.77,56.19,1.188,44.062,50.818,-15.333,2.942086,2.855258,2.951
3dssd,kitti_raw,2011_09_26_drive_0001_sync,27,0,3,4,0.8,0.8,0.0,0.7655,0.7869,-0.0215,65.89,55.34,1.191,45.843,54.529,-18.947,3.020621,3.017571,0.101
3dssd,kitti_raw,2011_09_26_drive_0001_sync,28,0,3,4,0.8,0.8,0.0,0.8194,0.9039,-0.0845,65.43,54.31,1.205,45.474,51.208,-12.609,2.975428,2.781357,6.522
3dssd,kitti_raw,2011_09_26_drive_0001_sync,29,0,3,5,0.7273,0.7273,0.0,0.8263,0.8244,0.0019,65.22,52.95,1.232,43.611,49.537,-13.588,2.84413,2.622829,7.781
3dssd,kitti_raw,2011_09_26_drive_0001_sync,30,1,3,5,0.7273,0.9091,-0.1818,0.8626,0.8344,0.0282,64.45,52.95,1.217,44.364,49.63,-11.871,2.859242,2.627939,8.09
