t_l,t_h,speedup,ia_risk,copy_risk,delta_miou_ia,delta_accuracy_ia,delta_miou_copy,delta_accuracy_copy,valid
0.43,0.57,3.112495336930185,0.25010579066754424,0.1741267964201932,-0.01055,0.0119,0.00438777633289987,0.0021315994798439533,True
0.25,0.58,3.072235523699801,0.2874978050091933,0.1722776765699261,-0.013099999999999999,0.035708333333333335,0.0015267457180500657,5.164690382081732e-05,True
0.26,0.58,3.072235523699801,0.2874978050091933,0.1722776765699261,-0.013099999999999999,0.035708333333333335,0.0015267457180500657,5.164690382081732e-05,True
0.28,0.58,3.072235523699801,0.2874978050091933,0.1722776765699261,-0.013099999999999999,0.035708333333333335,0.0015267457180500657,5.164690382081732e-05,True
0.27,0.58,3.072235523699801,0.2874978050091933,0.1722776765699261,-0.013099999999999999,0.035708333333333335,0.0015267457180500657,5.164690382081732e-05,True
0.26,0.59,3.052373328888006,0.2678357079703238,0.17157497323677937,-0.011215384615384617,0.03296153846153846,0.0014187830687830687,0.0006817460317460318,True
0.28,0.59,3.052373328888006,0.2678357079703238,0.17157497323677937,-0.011215384615384617,0.03296153846153846,0.0014187830687830687,0.0006817460317460318,True
0.27,0.59,3.052373328888006,0.2678357079703238,0.17157497323677937,-0.011215384615384617,0.03296153846153846,0.0014187830687830687,0.0006817460317460318,True
0.25,0.59,3.052373328888006,0.2678357079703238,0.17157497323677937,-0.011215384615384617,0.03296153846153846,0.0014187830687830687,0.0006817460317460318,True
0.43,0.58,3.0455699163279264,0.18886916921031294,0.1722776765699261,-0.004327272727272727,0.008654545454545455,0.0015267457180500657,5.164690382081732e-05,True
0.27,0.6,3.032766305043402,0.25067461131546975,0.17086636380522804,-0.00817857142857143,0.02195,0.0012351925630810095,0.0008873837981407701,True
0.28,0.6,3.032766305043402,0.25067461131546975,0.17086636380522804,-0.00817857142857143,0.02195,0.0012351925630810095,0.0008873837981407701,True
0.25,0.6,3.032766305043402,0.25067461131546975,0.17086636380522804,-0.00817857142857143,0.02195,0.0012351925630810095,0.0008873837981407701,True
0.26,0.6,3.032766305043402,0.25067461131546975,0.17086636380522804,-0.00817857142857143,0.02195,0.0012351925630810095,0.0008873837981407701,True
0.43,0.59,3.026049919505115,0.1745958147319816,0.17157497323677937,-0.003016666666666666,0.007933333333333334,0.0014187830687830687,0.0006817460317460318,True
0.27,0.61,3.0198342995212086,0.2355688540178032,0.1713164978713322,-0.007666666666666666,0.013646666666666666,0.001329294274300932,0.0007676431424766983,True
0.28,0.61,3.0198342995212086,0.2355688540178032,0.1713164978713322,-0.007666666666666666,0.013646666666666666,0.001329294274300932,0.0007676431424766983,True
0.26,0.61,3.0198342995212086,0.2355688540178032,0.1713164978713322,-0.007666666666666666,0.013646666666666666,0.001329294274300932,0.0007676431424766983,True
0.25,0.61,3.0198342995212086,0.2355688540178032,0.1713164978713322,-0.007666666666666666,0.013646666666666666,0.001329294274300932,0.0007676431424766983,True
0.43,0.6,3.006778548521518,0.1623223599317081,0.17086636380522804,-0.00037692307692307727,-0.0019999999999999996,0.0012351925630810095,0.0008873837981407701,True
0.43,0.61,2.9940667575137567,0.15165710175592792,0.1713164978713322,-0.00038571428571428556,-0.009185714285714285,0.001329294274300932,0.0007676431424766983,True
0.43,0.63,2.932086680664442,0.1423041014091059,0.17360319917853512,-0.00035999999999999986,-0.008573333333333332,0.0019566801619433204,0.0018383265856950068,True
0.26,0.75,2.421062951531276,0.1629238945024934,0.16935024396523068,-0.004374468085106383,0.004508510638297871,0.002095905511811024,0.0026384251968503947,True
0.27,0.75,2.421062951531276,0.1629238945024934,0.16935024396523068,-0.004374468085106383,0.004508510638297871,0.002095905511811024,0.0026384251968503947,True
0.28,0.75,2.421062951531276,0.1629238945024934,0.16935024396523068,-0.004374468085106383,0.004508510638297871,0.002095905511811024,0.0026384251968503947,True
0.25,0.75,2.421062951531276,0.1629238945024934,0.16935024396523068,-0.004374468085106383,0.004508510638297871,0.002095905511811024,0.0026384251968503947,True
0.43,0.75,2.404472648340766,0.13949923633537314,0.16935024396523068,-0.002086956521739131,-0.00263913043478261,0.002095905511811024,0.0026384251968503947,True
0.27,0.76,2.380375049488569,0.17107616352867594,0.16867580455805062,-0.004138461538461538,0.007942307692307693,0.0018172800000000005,0.0031374400000000005,True
0.28,0.76,2.380375049488569,0.17107616352867594,0.16867580455805062,-0.004138461538461538,0.007942307692307693,0.0018172800000000005,0.0031374400000000005,True
0.26,0.76,2.380375049488569,0.17107616352867594,0.16867580455805062,-0.004138461538461538,0.007942307692307693,0.0018172800000000005,0.0031374400000000005,True
0.25,0.76,2.380375049488569,0.17107616352867594,0.16867580455805062,-0.004138461538461538,0.007942307692307693,0.0018172800000000005,0.0031374400000000005,True
0.43,0.76,2.364335840182799,0.15065786608918155,0.16867580455805062,-0.0020705882352941183,0.0015627450980392156,0.0018172800000000005,0.0031374400000000005,True
0.28,0.77,2.3142570459572696,0.17167628760099024,0.1664384279949205,-0.003072881355932204,0.011818644067796608,0.0018773026315789477,0.002667927631578947,True
0.25,0.77,2.3142570459572696,0.17167628760099024,0.1664384279949205,-0.003072881355932204,0.011818644067796608,0.0018773026315789477,0.002667927631578947,True
0.26,0.77,2.3142570459572696,0.17167628760099024,0.1664384279949205,-0.003072881355932204,0.011818644067796608,0.0018773026315789477,0.002667927631578947,True
0.27,0.77,2.3142570459572696,0.17167628760099024,0.1664384279949205,-0.003072881355932204,0.011818644067796608,0.0018773026315789477,0.002667927631578947,True
0.43,0.77,2.29909364373482,0.1540504168650981,0.1664384279949205,-0.0012362068965517247,0.006275862068965517,0.0018773026315789477,0.002667927631578947,True
0.71,0.75,2.286500215423698,0.13403567663993468,0.16935024396523068,0.007031249999999999,-0.0103125,0.002095905511811024,0.0026384251968503947,True
0.28,0.78,2.2517128031489517,0.1541144962506678,0.1658408544795598,-0.0023651515151515154,0.015062121212121212,0.0015165820642978006,0.002678680203045685,True
0.27,0.78,2.2517128031489517,0.1541144962506678,0.1658408544795598,-0.0023651515151515154,0.015062121212121212,0.0015165820642978006,0.002678680203045685,True
0.25,0.78,2.2517128031489517,0.1541144962506678,0.1658408544795598,-0.0023651515151515154,0.015062121212121212,0.0015165820642978006,0.002678680203045685,True
0.26,0.78,2.2517128031489517,0.1541144962506678,0.1658408544795598,-0.0023651515151515154,0.015062121212121212,0.0015165820642978006,0.002678680203045685,True
0.43,0.78,2.237355384294158,0.13802048012762116,0.1658408544795598,-0.0007153846153846156,0.010166153846153844,0.0015165820642978006,0.002678680203045685,True
0.28,0.79,2.1557541623645786,0.19014273018729314,0.16278713708771916,0.0007513888888888895,0.016768055555555557,0.0022872113676731796,0.0026323268206039085,True
0.26,0.79,2.1557541623645786,0.19014273018729314,0.16278713708771916,0.0007513888888888895,0.016768055555555557,0.0022872113676731796,0.0026323268206039085,True
0.27,0.79,2.1557541623645786,0.19014273018729314,0.16278713708771916,0.0007513888888888895,0.016768055555555557,0.0022872113676731796,0.0026323268206039085,True
0.25,0.79,2.1557541623645786,0.19014273018729314,0.16278713708771916,0.0007513888888888895,0.016768055555555557,0.0022872113676731796,0.0026323268206039085,True
0.43,0.79,2.142590799035502,0.17657518723230575,0.16278713708771916,0.0023056338028169007,0.012309859154929579,0.0022872113676731796,0.0026323268206039085,True
0.27,0.8,2.1076369864861486,0.18281343058335628,0.16142471108353817,0.001333333333333333,0.015094666666666666,0.002342700729927007,0.0031760948905109497,True
0.26,0.8,2.1076369864861486,0.18281343058335628,0.16142471108353817,0.001333333333333333,0.015094666666666666,0.002342700729927007,0.0031760948905109497,True
0.25,0.8,2.1076369864861486,0.18281343058335628,0.16142471108353817,0.001333333333333333,0.015094666666666666,0.002342700729927007,0.0031760948905109497,True
0.28,0.8,2.1076369864861486,0.18281343058335628,0.16142471108353817,0.001333333333333333,0.015094666666666666,0.002342700729927007,0.0031760948905109497,True
0.43,0.8,2.0950529717177546,0.16966818959068208,0.16142471108353817,0.002832432432432432,0.010794594594594593,0.002342700729927007,0.0031760948905109497,True
0.25,0.81,2.0408274281943597,0.17177605234682752,0.16007580035703156,0.0011250000000000003,0.00847125,0.0021197718631178705,0.004210266159695818,True
0.28,0.81,2.0408274281943597,0.17177605234682752,0.16007580035703156,0.0011250000000000003,0.00847125,0.0021197718631178705,0.004210266159695818,True
0.26,0.81,2.0408274281943597,0.17177605234682752,0.16007580035703156,0.0011250000000000003,0.00847125,0.0021197718631178705,0.004210266159695818,True
0.27,0.81,2.0408274281943597,0.17177605234682752,0.16007580035703156,0.0011250000000000003,0.00847125,0.0021197718631178705,0.004210266159695818,True
0.43,0.81,2.0290263315960266,0.15928239182783865,0.16007580035703156,0.002526582278481012,0.004359493670886076,0.0021197718631178705,0.004210266159695818,True
0.27,0.82,1.9864460166026896,0.1566412046956049,0.16391708534537852,0.00043522727272727306,0.008339772727272727,0.0023386587771203142,0.005551282051282052,True
0.28,0.82,1.9864460166026896,0.1566412046956049,0.16391708534537852,0.00043522727272727306,0.008339772727272727,0.0023386587771203142,0.005551282051282052,True
0.25,0.82,1.9864460166026896,0.1566412046956049,0.16391708534537852,0.00043522727272727306,0.008339772727272727,0.0023386587771203142,0.005551282051282052,True
0.26,0.82,1.9864460166026896,0.1566412046956049,0.16391708534537852,0.00043522727272727306,0.008339772727272727,0.0023386587771203142,0.005551282051282052,True
0.43,0.82,1.97526373928965,0.1450713901512721,0.16391708534537852,0.0016999999999999995,0.004604597701149425,0.0023386587771203142,0.005551282051282052,True
0.79,0.82,1.825921192824627,0.13403567663993468,0.16391708534537852,-0.0009874999999999997,-0.029587499999999996,0.0023386587771203142,0.005551282051282052,True
0.26,0.84,1.8251820521776956,0.1456359848919101,0.1511068978833534,0.0018805825242718447,0.0033252427184466016,0.004675225225225225,0.004854954954954955,True
0.28,0.84,1.8251820521776956,0.1456359848919101,0.1511068978833534,0.0018805825242718447,0.0033252427184466016,0.004675225225225225,0.004854954954954955,True
0.27,0.84,1.8251820521776956,0.1456359848919101,0.1511068978833534,0.0018805825242718447,0.0033252427184466016,0.004675225225225225,0.004854954954954955,True
0.25,0.84,1.8251820521776956,0.1456359848919101,0.1511068978833534,0.0018805825242718447,0.0033252427184466016,0.004675225225225225,0.004854954954954955,True
0.43,0.84,1.8157373640908192,0.13571057367044143,0.1511068978833534,0.0029735294117647047,9.019607843137323e-05,0.004675225225225225,0.004854954954954955,True
0.26,0.85,1.7770926497223383,0.13422581327135005,0.15599242992835213,0.0008419642857142856,0.0008258928571428561,0.0052309692671394774,0.005369976359338061,True
0.28,0.85,1.7770926497223383,0.13422581327135005,0.15599242992835213,0.0008419642857142856,0.0008258928571428561,0.0052309692671394774,0.005369976359338061,True
0.27,0.85,1.7770926497223383,0.13422581327135005,0.15599242992835213,0.0008419642857142856,0.0008258928571428561,0.0052309692671394774,0.005369976359338061,True
0.25,0.85,1.7770926497223383,0.13422581327135005,0.15599242992835213,0.0008419642857142856,0.0008258928571428561,0.0052309692671394774,0.005369976359338061,True
0.43,0.85,1.7681378763769058,0.1249733173746004,0.15599242992835213,0.0018369369369369364,-0.00216936936936937,0.0052309692671394774,0.005369976359338061,True
0.27,0.86,1.718864978176606,0.13845226781233397,0.1476403659524189,0.0006897435897435887,0.0024564102564102555,0.0049121212121212105,0.00516489898989899,True
0.25,0.86,1.718864978176606,0.13845226781233397,0.1476403659524189,0.0006897435897435887,0.0024564102564102555,0.0049121212121212105,0.00516489898989899,True
0.26,0.86,1.718864978176606,0.13845226781233397,0.1476403659524189,0.0006897435897435887,0.0024564102564102555,0.0049121212121212105,0.00516489898989899,True
0.28,0.86,1.718864978176606,0.13845226781233397,0.1476403659524189,0.0006897435897435887,0.0024564102564102555,0.0049121212121212105,0.00516489898989899,True
0.43,0.86,1.7104860263541932,0.1297088022617523,0.1476403659524189,0.0016405172413793106,-0.0003956896551724152,0.0049121212121212105,0.00516489898989899,True
0.79,0.84,1.68876786166494,0.11976923811259493,0.1511068978833534,0.004503225806451611,-0.027896774193548385,0.004675225225225225,0.004854954954954955,True
0.43,0.87,1.652609610513184,0.12651550770801404,0.15039553226293317,0.001185714285714285,-0.001285714285714287,0.0056907356948228864,0.006165395095367849,True
0.79,0.85,1.6475170040813885,0.09379710299528378,0.15599242992835213,0.0010049999999999994,-0.02787,0.0052309692671394774,0.005369976359338061,True
0.25,0.88,1.61315283804542,0.1368053374504631,0.1423948790833108,0.00031653543307086574,0.0006866141732283429,0.005625438596491229,0.006135672514619882,True
0.26,0.88,1.61315283804542,0.1368053374504631,0.1423948790833108,0.00031653543307086574,0.0006866141732283429,0.005625438596491229,0.006135672514619882,True
0.27,0.88,1.61315283804542,0.1368053374504631,0.1423948790833108,0.00031653543307086574,0.0006866141732283429,0.005625438596491229,0.006135672514619882,True
0.28,0.88,1.61315283804542,0.1368053374504631,0.1423948790833108,0.00031653543307086574,0.0006866141732283429,0.005625438596491229,0.006135672514619882,True
0.43,0.88,1.6057706106048648,0.1287903635307907,0.1423948790833108,0.0011888888888888886,-0.0019531746031746034,0.005625438596491229,0.006135672514619882,True
0.79,0.86,1.5973511854052496,0.11397524740661452,0.1476403659524189,0.0005911111111111112,-0.02044222222222222,0.0049121212121212105,0.00516489898989899,True
0.26,0.89,1.5615764883516514,0.12981861238104644,0.11726791567259423,-0.00012835820895522383,-9.179104477612007e-05,0.005546964856230032,0.00484408945686901,True
0.27,0.89,1.5615764883516514,0.12981861238104644,0.11726791567259423,-0.00012835820895522383,-9.179104477612007e-05,0.005546964856230032,0.00484408945686901,True
0.28,0.89,1.5615764883516514,0.12981861238104644,0.11726791567259423,-0.00012835820895522383,-9.179104477612007e-05,0.005546964856230032,0.00484408945686901,True
0.25,0.89,1.5615764883516514,0.12981861238104644,0.11726791567259423,-0.00012835820895522383,-9.179104477612007e-05,0.005546964856230032,0.00484408945686901,True
0.43,0.89,1.5546577571315499,0.12215930303402874,0.11726791567259423,0.0006947368421052622,-0.002598496240601504,0.005546964856230032,0.00484408945686901,True
0.79,0.87,1.5467644769817543,0.10710001402070252,0.15039553226293317,-0.0004708333333333335,-0.021395833333333336,0.0056907356948228864,0.006165395095367849,True
0.25,0.9,1.5099696791684702,0.1315931488277954,0.1104758980601934,-0.0003368794326241134,0.0015858156028368765,0.0007262411347517734,0.0031627659574468086,True
0.28,0.9,1.5099696791684702,0.1315931488277954,0.1104758980601934,-0.0003368794326241134,0.0015858156028368765,0.0007262411347517734,0.0031627659574468086,True
0.27,0.9,1.5099696791684702,0.1315931488277954,0.1104758980601934,-0.0003368794326241134,0.0015858156028368765,0.0007262411347517734,0.0031627659574468086,True
0.26,0.9,1.5099696791684702,0.1315931488277954,0.1104758980601934,-0.0003368794326241134,0.0015858156028368765,0.0007262411347517734,0.0031627659574468086,True
0.79,0.88,1.5056585433428036,0.11744855782560722,0.1423948790833108,-0.0002527272727272728,-0.020365454545454548,0.005625438596491229,0.006135672514619882,True
0.43,0.9,1.5034997431702175,0.1243738194843188,0.1104758980601934,0.0004435714285714281,-0.0007835714285714311,0.0007262411347517734,0.0031627659574468086,True
0.26,0.91,1.4753673836079217,0.12718182795384822,0.10259788437412132,-0.0002664383561643839,0.0015671232876712322,0.0005561538461538468,0.00341,True
0.25,0.91,1.4753673836079217,0.12718182795384822,0.10259788437412132,-0.0002664383561643839,0.0015671232876712322,0.0005561538461538468,0.00341,True
0.28,0.91,1.4753673836079217,0.12718182795384822,0.10259788437412132,-0.0002664383561643839,0.0015671232876712322,0.0005561538461538468,0.00341,True
0.27,0.91,1.4753673836079217,0.12718182795384822,0.10259788437412132,-0.0002664383561643839,0.0015671232876712322,0.0005561538461538468,0.00341,True
0.43,0.91,1.4691899720925272,0.12017340114476067,0.10259788437412132,0.0004875862068965505,-0.0007206896551724141,0.0005561538461538468,0.00341,True
0.79,0.89,1.4606309419349224,0.10458702523569575,0.11726791567259423,-0.0011500000000000002,-0.019670967741935486,0.005546964856230032,0.00484408945686901,True
0.25,0.93,1.4234717405170085,0.12413394914675585,0.0933017145900213,-0.0012981132075471707,0.00048616352201257673,-8.444444444444502e-06,0.000978222222222224,True
0.26,0.93,1.4234717405170085,0.12413394914675585,0.0933017145900213,-0.0012981132075471707,0.00048616352201257673,-8.444444444444502e-06,0.000978222222222224,True
0.27,0.93,1.4234717405170085,0.12413394914675585,0.0933017145900213,-0.0012981132075471707,0.00048616352201257673,-8.444444444444502e-06,0.000978222222222224,True
0.28,0.93,1.4234717405170085,0.12413394914675585,0.0933017145900213,-0.0012981132075471707,0.00048616352201257673,-8.444444444444502e-06,0.000978222222222224,True
