t_l,t_h,speedup,ia_risk,copy_risk,delta_miou_ia,delta_accuracy_ia,delta_miou_copy,delta_accuracy_copy,valid
0.29,0.4,17.58649526671646,0.28031432699884795,0.03444239609274855,0.010971428571428566,0.019514285714285713,-0.000234646281420057,5.338170510494934e-06,True
0.29,0.41,17.263959321713084,0.25010579066754424,0.03400947584264102,0.005887499999999999,0.020325,-0.000166770670826833,-3.9001560062402315e-06,True
0.29,0.44,16.451629433194288,0.2874978050091933,0.03348946252360112,0.01205,0.0159,-0.00017457360272894244,5.3739176069273224e-05,True
0.29,0.48,14.890210554479783,0.22488975696039035,0.03248766476129407,0.01822051282051282,0.0159974358974359,-0.00018068577551567095,2.7645325475488826e-05,True
0.29,0.49,14.588442165691871,0.21451483917438285,0.03235107110344343,0.019234146341463414,0.015048780487804881,-0.000238832077502691,2.642626480086113e-05,True
0.29,0.5,14.100947055764555,0.24262504488785797,0.032317781040594296,0.01908695652173913,0.019884782608695657,-0.00020916734472470834,2.9373474369406032e-05,True
0.29,0.53,12.643987772714192,0.20754369784393237,0.032921608815098626,0.024405000000000003,0.019941666666666667,3.534987454697536e-05,-3.28129356007806e-05,True
0.29,0.54,12.130123740018508,0.20375479890745027,0.03270378502345575,0.018782089552238805,0.021444776119402983,0.00013217710095882697,-0.00017560631697687538,True
0.45,0.48,11.938929165533844,0.1994675930978221,0.03248766476129407,0.008905555555555557,0.0152,-0.00018068577551567095,2.7645325475488826e-05,True
0.45,0.49,11.7441462714356,0.1809609634367385,0.03235107110344343,0.011915000000000002,0.013335,-0.000238832077502691,2.642626480086113e-05,True
0.29,0.55,11.62318204425219,0.23364227463378734,0.03220537513940576,0.02358846153846154,0.021685897435897432,6.262135922330107e-05,-0.00012110222729868658,True
0.47,0.49,11.034011188489885,0.1623223599317081,0.03235107110344343,0.015015384615384614,0.007123076923076923,-0.000238832077502691,2.642626480086113e-05,True
0.29,0.56,10.947315283574905,0.21139864106691775,0.03219563268921288,0.020244565217391305,0.02167282608695652,6.55513529240618e-05,5.519348268839114e-05,True
0.29,0.57,10.336990846819456,0.20805001373484364,0.03187949249692553,0.01955181818181818,0.021523636363636363,1.8837140314446818e-05,-3.0851379412635943e-06,True
0.29,0.58,9.814683601127761,0.21885674677748304,0.03119965281481572,0.020692799999999997,0.0257848,1.8923821039903177e-05,-0.00014495163240628775,True
0.29,0.59,9.250806377357327,0.20607470467796762,0.030614007975412093,0.020471428571428574,0.025763157894736842,4.5853960396039486e-05,-0.00019758663366336614,True
0.45,0.57,8.822906072390984,0.20579794201275142,0.03187949249692553,0.017982022471910112,0.022666292134831456,1.8837140314446818e-05,-3.0851379412635943e-06,True
0.29,0.6,8.710837859885793,0.2137238411563939,0.030055206386653554,0.019463758389261746,0.026940939597315434,0.0001655555555555553,-0.00035180952380952377,True
0.29,0.61,8.142802987049484,0.2248720545815283,0.029268188481759966,0.021197590361445782,0.029409036144578314,0.00014017038007863676,-6.965923984272612e-05,True
0.45,0.59,8.019241516186094,0.20445178883421022,0.030614007975412093,0.01939642857142857,0.02746607142857143,4.5853960396039486e-05,-0.00019758663366336614,True
0.29,0.62,7.6827096711204135,0.23499085017552457,0.027986491280222826,0.021857692307692304,0.03153021978021979,-0.00022150573936529388,8.946657663740712e-05,True
0.29,0.63,7.22887251109524,0.219692166619238,0.02821256267013427,0.021664,0.028626500000000003,-0.00025206149545772187,5.2760307477289005e-06,True
0.29,0.64,6.791569678944393,0.22921253502743855,0.026592821202201678,0.019448636363636366,0.03077227272727273,-0.00037253904831093345,5.3178350889938116e-05,True
0.29,0.65,6.407510367002994,0.21937848292373993,0.02522739717726065,0.02061625,0.030276666666666667,-3.1379962192816327e-06,-0.00026824196597353506,True
0.29,0.66,6.013896537729075,0.21916732948557768,0.02518698825179578,0.020212692307692307,0.030625384615384617,0.0001303571428571428,-0.0002793650793650794,True
0.29,0.67,5.697498569249883,0.22334927941112467,0.023205558865397286,0.020680985915492958,0.032145070422535206,0.00022970502700456988,-0.00039696717906107166,True
0.29,0.68,5.4055558565432245,0.2131316369866737,0.02437794496394692,0.020758766233766233,0.03282694805194805,0.0003655172413793103,-0.00039336534264513293,True
0.29,0.69,5.073848835040053,0.19928752695492863,0.025548720721788633,0.021248554913294797,0.030250867052023123,0.00026369575361642544,-0.00025431637890807287,True
0.29,0.7,4.8067867451669395,0.1989194010275294,0.024526819681340253,0.021632717678100266,0.030874406332453825,-2.5136884021901493e-05,-0.0001917869586859136,True
0.29,0.71,4.586972473848481,0.1908060282542954,0.024945172747050215,0.021588778054862843,0.029599501246882796,-8.83412824589292e-05,-0.00015511393746687877,True
