t_l,t_h,speedup,ia_risk,copy_risk,delta_miou_ia,delta_accuracy_ia,delta_miou_copy,delta_accuracy_copy,valid
0.31,0.46,20.20417788859786,0.28031432699884795,0.029673900179835927,0.029428571428571432,-0.009042857142857142,-5.2827265685515134e-05,0.00016021172217918928,True
0.31,0.49,19.542942114479693,0.22573631731887292,0.02981991924210142,0.02788888888888889,0.003977777777777778,-7.804878048780485e-05,0.00013500259470679814,True
0.31,0.58,15.83371594639074,0.23046156417460503,0.0294812999325166,0.034894736842105256,0.029350000000000005,-3.4749865519096344e-05,0.00014994620763851535,True
0.31,0.59,15.362058646394008,0.22488975696039035,0.029656451946812778,0.03532051282051282,0.030179487179487187,-3.7635281385281505e-05,0.00015722402597402601,True
0.53,0.58,12.921919190102459,0.21518936917198667,0.0294812999325166,0.034913043478260866,0.029865217391304346,-3.4749865519096344e-05,0.00014994620763851535,True
0.53,0.59,12.606054915963801,0.20685224769885033,0.029656451946812778,0.035604166666666666,0.031191666666666663,-3.7635281385281505e-05,0.00015722402597402601,True
0.56,0.59,11.62091530532051,0.2056717652757185,0.029656451946812778,0.03415,0.01828,-3.7635281385281505e-05,0.00015722402597402601,True
0.31,0.7,10.125063680279444,0.28592570074649354,0.027603956851495193,0.028851694915254238,0.04447627118644067,-0.00017522631261315664,0.00011985515992758005,True
0.31,0.71,9.676038885115672,0.2704804321189649,0.027059648153566658,0.0290248,0.0443704,-0.00016716738197424932,0.0002527896995708154,True
0.31,0.72,9.242506380285796,0.28261554551248436,0.02585251677400027,0.027987407407407405,0.04409777777777778,-0.00019379482382288776,0.00018606173994387294,True
0.63,0.71,6.620450827927574,0.26911288352021384,0.027059648153566658,0.026512698412698415,0.041507936507936515,-0.00016716738197424932,0.0002527896995708154,True
0.65,0.71,6.245403679374582,0.24599473015243647,0.027059648153566658,0.02626181818181818,0.04139090909090909,-0.00016716738197424932,0.0002527896995708154,True
0.65,0.72,6.0618758806954665,0.2780689723174885,0.02585251677400027,0.024532307692307694,0.04128307692307693,-0.00019379482382288776,0.00018606173994387294,True
0.67,0.71,5.84572866143589,0.24274388982704245,0.027059648153566658,0.020534146341463413,0.045780487804878055,-0.00016716738197424932,0.0002527896995708154,True
0.68,0.71,5.551370130879772,0.23443894871488635,0.027059648153566658,0.014893749999999999,0.0495,-0.00016716738197424932,0.0002527896995708154,True
0.69,0.71,5.347110829601966,0.16558937371921467,0.027059648153566658,0.018995454545454548,0.045659090909090906,-0.00016716738197424932,0.0002527896995708154,True
0.69,0.72,5.212009784347399,0.2706695848010624,0.02585251677400027,0.017753124999999998,0.04410625,-0.00019379482382288776,0.00018606173994387294,True
0.31,0.81,5.068295140352328,0.28898843397889645,0.018426102295647437,0.028226488095238096,0.051714583333333335,0.0005208105646630233,-0.00014271402550091063,True
0.31,0.82,4.646897019540623,0.27425730268349435,0.016944184260590224,0.0271676844783715,0.052392875318066155,0.0002887606623181129,-4.917210235825357e-05,True
0.31,0.83,4.290193360796543,0.2673718106478178,0.01760700874017867,0.0278768149882904,0.05150374707259953,0.00015882681564245734,0.0005467597765363134,True
0.31,0.84,4.004033949787113,0.2631510780739116,0.016144047919968443,0.02746931330472103,0.0493087982832618,0.00030031230480949417,0.0006301061836352287,True
0.31,0.85,3.7314400243574872,0.2553967142812432,0.017716082134960065,0.027495608782435132,0.04860678642714571,0.000110114777618364,0.001377259684361551,True
0.31,0.86,3.500063117667485,0.24682050127641258,0.020692440824257415,0.027619629629629633,0.047014629629629635,-0.00044367141659681464,0.0020386420787929594,True
0.31,0.87,3.28140713865786,0.24280044824103525,0.0240799851348681,0.02754931972789116,0.046584183673469386,-0.0007294779938587508,0.002800614124872058,True
0.65,0.84,3.26245318024224,0.2617588131703458,0.016144047919968443,0.02681060606060606,0.04976792929292929,0.00030031230480949417,0.0006301061836352287,True
0.31,0.88,3.093517185656823,0.24477442062183222,0.023095831779173733,0.027580830670926516,0.04658514376996806,-0.0007371577574967397,0.002667535853976534,True
0.65,0.85,3.079171075603023,0.2529211498999213,0.017716082134960065,0.026894663573085845,0.04891461716937355,0.000110114777618364,0.001377259684361551,True
0.63,0.86,2.999326594838492,0.24582997154293298,0.020692440824257415,0.027106276150627613,0.04698033472803348,-0.00044367141659681464,0.0020386420787929594,True
0.31,0.89,2.9487930565450386,0.2358216897061185,0.022043303778100595,0.027504400606980273,0.045161608497723826,-0.001414480408858602,0.0025541737649063057,True
0.65,0.86,2.919888678969163,0.2433264047919179,0.020692440824257415,0.027087021276595746,0.047059787234042555,-0.00044367141659681464,0.0020386420787929594,True
0.74,0.82,2.8893713833275165,0.25487955967448694,0.016944184260590224,0.026696475770925113,0.054492070484581503,0.0002887606623181129,-4.917210235825357e-05,True
0.69,0.85,2.843640771329356,0.2526463862793399,0.017716082134960065,0.026545477386934673,0.049774371859296486,0.000110114777618364,0.001377259684361551,True
0.31,0.9,2.826127095228689,0.23119933342990343,0.021970279058190403,0.02708906474820144,0.044627769784172655,-0.001549523809523809,0.0013411904761904776,True
0.75,0.82,2.7849223684417224,0.24876297144127346,0.016944184260590224,0.02674265402843602,0.0538781990521327,0.0002887606623181129,-4.917210235825357e-05,True
0.74,0.83,2.7473402770845476,0.24661214995356856,0.01760700874017867,0.02791800766283525,0.0527639846743295,0.00015882681564245734,0.0005467597765363134,True
0.69,0.86,2.70725425208735,0.24238396747981786,0.020692440824257415,0.026783524027459954,0.04770274599542334,-0.00044367141659681464,0.0020386420787929594,True
0.73,0.84,2.7037558688235688,0.2559030642799891,0.016144047919968443,0.027877707006369424,0.05020764331210191,0.00030031230480949417,0.0006301061836352287,True
0.76,0.82,2.6731542001917656,0.24520840675343944,0.016944184260590224,0.026430208333333333,0.0518734375,0.0002887606623181129,-4.917210235825357e-05,True
0.75,0.83,2.6527394492842573,0.2408894168714849,0.01760700874017867,0.028037551020408166,0.05212244897959184,0.00015882681564245734,0.0005467597765363134,True
0.74,0.84,2.627107279039074,0.24321356050921994,0.016144047919968443,0.027279666666666664,0.04919066666666667,0.00030031230480949417,0.0006301061836352287,True
0.76,0.83,2.5511358236812094,0.23732547477615543,0.01760700874017867,0.027880973451327434,0.0502716814159292,0.00015882681564245734,0.0005467597765363134,True
0.75,0.84,2.5404748299811786,0.23816628857872466,0.016144047919968443,0.02734683098591549,0.04843591549295774,0.00030031230480949417,0.0006301061836352287,True
0.74,0.85,2.5069459468029787,0.23393683565791976,0.017716082134960065,0.027338805970149253,0.04815313432835821,0.000110114777618364,0.001377259684361551,True
0.63,0.9,2.490410873099636,0.22904942731517788,0.021970279058190403,0.026649447077409162,0.04436808846761454,-0.001549523809523809,0.0013411904761904776,True
0.76,0.84,2.4471377228047286,0.23503706901101462,0.016144047919968443,0.02716377358490566,0.046593207547169814,0.00030031230480949417,0.0006301061836352287,True
0.65,0.9,2.435396214862305,0.2269740741836321,0.021970279058190403,0.02662912,0.0443944,-0.001549523809523809,0.0013411904761904776,True
0.75,0.85,2.427938057388334,0.22901516035565292,0.017716082134960065,0.02740156739811912,0.04742915360501567,0.000110114777618364,0.001377259684361551,True
0.74,0.86,2.4003390669872706,0.22398308808012898,0.020692440824257415,0.027534224598930478,0.04590160427807487,-0.00044367141659681464,0.0020386420787929594,True
0.76,0.85,2.3425480333682427,0.2257218409382968,0.017716082134960065,0.027243333333333335,0.04573766666666666,0.000110114777618364,0.001377259684361551,True
0.75,0.86,2.3278106607761293,0.21918148294831094,0.020692440824257415,0.027598882681564244,0.04515586592178771,-0.00044367141659681464,0.0020386420787929594,True
0.79,0.82,2.3268538637183513,0.2259171937499286,0.016944184260590224,0.018380172413793104,0.049137068965517235,0.0002887606623181129,-4.917210235825357e-05,True
0.76,0.86,2.249204318192316,0.21575471777022276,0.020692440824257415,0.02746991150442478,0.043531563421828914,-0.00044367141659681464,0.0020386420787929594,True
0.79,0.83,2.233852102265644,0.21953704028053592,0.01760700874017867,0.022390666666666666,0.047344,0.00015882681564245734,0.0005467597765363134,True
0.76,0.87,2.1568465317283256,0.21388195028663143,0.0240799851348681,0.027381653746770027,0.04330956072351422,-0.0007294779938587508,0.002800614124872058,True
0.79,0.84,2.153707451200697,0.22086355279866068,0.016144047919968443,0.02251798941798942,0.042790476190476184,0.00030031230480949417,0.0006301061836352287,True
0.74,0.89,2.127566899765265,0.21527555757831926,0.022043303778100595,0.027400811359026372,0.04369330628803245,-0.001414480408858602,0.0025541737649063057,True
0.79,0.85,2.0722788702779025,0.21097462755482557,0.017716082134960065,0.02335044642857143,0.04223883928571429,0.000110114777618364,0.001377259684361551,True
0.74,0.9,2.0629624213373994,0.21068928053652958,0.021970279058190403,0.026862192816635162,0.043091871455576566,-0.001549523809523809,0.0013411904761904776,True
0.75,0.9,2.0091609764725176,0.20700576659489325,0.021970279058190403,0.026886354775828458,0.04248382066276804,-0.001549523809523809,0.0013411904761904776,True
0.79,0.86,1.9988941464981578,0.20058152021184397,0.020692440824257415,0.024219771863117873,0.03991406844106463,-0.00044367141659681464,0.0020386420787929594,True
0.8,0.86,1.9087919984795678,0.19964788420269816,0.020692440824257415,0.02560379746835443,0.04004978902953586,-0.00044367141659681464,0.0020386420787929594,True
0.79,0.89,1.806067114449144,0.19738299198472326,0.022043303778100595,0.025080104712041886,0.03892931937172775,-0.001414480408858602,0.0025541737649063057,True
0.79,0.9,1.75929776610546,0.19324242424027546,0.021970279058190403,0.024598325358851675,0.038578468899521524,-0.001549523809523809,0.0013411904761904776,True
0.8,0.9,1.6891220077934168,0.19242859030929785,0.021970279058190403,0.025460204081632656,0.038571938775510205,-0.001549523809523809,0.0013411904761904776,True
0.88,0.89,1.2072765421257308,0.15333385547265482,0.022043303778100595,0.026054545454545452,0.01815757575757576,-0.001414480408858602,0.0025541737649063057,True
0.88,0.9,1.1861974533878283,0.16469886383766855,0.021970279058190403,0.022627536231884057,0.026869565217391304,-0.001549523809523809,0.0013411904761904776,True
0.31,0.31,21.028,1.0,0.02977886931337046,,,-4.5134788189987167e-05,0.00020207958921694482,False
0.31,0.41,20.834922585183012,0.9,0.02981707477894791,0.0724,-0.0144,-3.6426735218509e-05,0.00018745501285347046,False
0.31,0.42,20.72076872012208,0.6837722339831621,0.029567218940575388,0.07085,-0.058249999999999996,-3.2570105479804485e-05,0.00015181373810136355,False
