t_l,t_h,speedup,ia_risk,copy_risk,valid
0.25,0.36,13.564757806720868,0.280314326998848,0.11781659641255667,True
0.25,0.37,13.233908085509382,0.280314326998848,0.11694655868134807,True
0.25,0.38,12.473334387218882,0.2501057906675442,0.11531635248223572,True
0.25,0.39,11.795432181802228,0.22573631731887295,0.11593086539288938,True
0.25,0.4,11.30395334144072,0.2056717652757185,0.11529074493258694,True
0.25,0.41,10.237537737149818,0.16232235993170813,0.11423939472980797,True
0.25,0.46,7.382160585707687,0.15884096649989252,0.11472693478718093,True
0.25,0.47,6.657529155355025,0.12356999067525615,0.1107018348759519,True
0.25,0.48,5.962510511011669,0.10380257202819859,0.1081488439987541,True
0.42,0.48,5.856661865938017,0.09937197978872149,0.1081488439987541,True
0.25,0.49,5.593694499703605,0.09611330469884567,0.10842383333791357,True
0.42,0.49,5.500433164192026,0.08798916064409026,0.10842383333791357,True
0.42,0.5,5.209948235458866,0.08475268912261104,0.10857450459241494,True
0.42,0.51,4.971275998840226,0.0763291428126138,0.10859523884098597,True
0.42,0.52,4.554028066558653,0.06548078543946283,0.10863656751521963,True
0.42,0.53,4.267485986900968,0.05879503273193324,0.10949463764274837,True
0.25,0.54,4.004339324704666,0.06328738339302221,0.10673075616164177,True
0.42,0.54,3.9563186639334487,0.048824030878129414,0.10673075616164177,True
0.25,0.55,3.666134432020801,0.0560000020219648,0.10451253585791648,True
0.42,0.55,3.6258420207303588,0.041744145039734955,0.10451253585791648,True
0.25,0.56,3.445002171168257,0.05087399217249879,0.10428139815605485,True
0.42,0.56,3.409400246013988,0.03704374754009743,0.10428139815605485,True
0.42,0.57,3.0803531693662647,0.032820135702455525,0.10791282769463546,True
0.42,0.58,2.8915702428098675,0.029842813113221966,0.10841198240158137,True
0.42,0.59,2.801976016033512,0.027689718695315856,0.11042926479760871,True
0.42,0.6,2.613058512075207,0.026119327152502734,0.11194604887524529,True
0.25,0.63,2.2146430270159714,0.044104734015790154,0.10401659454024309,True
0.42,0.63,2.1998754980740354,0.03653891495736855,0.10401659454024309,True
0.42,0.64,2.0817135293882982,0.034284680238288,0.10545348582902977,True
0.42,0.65,1.9828177559269515,0.03311716632356576,0.10434834107044429,True
0.42,0.66,1.9061923443075293,0.03150773267788073,0.10694869159811182,True
0.25,0.67,1.8330657043005638,0.03678879678963561,0.09819850237254144,True
0.42,0.67,1.8229369583858128,0.029817151986089058,0.09819850237254144,True
0.25,0.68,1.7673857734201721,0.03555990889863535,0.09271764587933706,True
0.42,0.68,1.7579679983323062,0.028716561905130788,0.09271764587933706,True
0.42,0.69,1.684297411427749,0.027498547619758555,0.09919730944454352,True
0.42,0.7,1.645976632777827,0.026379648785756396,0.10021347160792828,True
0.42,0.71,1.5975148719029024,0.025853662516260492,0.10275249687345331,True
0.42,0.72,1.5429990663011275,0.024862200460709003,0.10688411604224729,True
0.42,0.73,1.487989344106061,0.023368590881214128,0.10497011630792462,True
0.42,0.74,1.4367669221533492,0.02204426445231168,0.11489507754460072,True
0.42,0.79,1.2412076760189046,0.024564340656599248,0.09955169085254344,True
0.42,0.8,1.2080457537519615,0.023795592442911132,0.09953892836264097,True
0.25,0.81,1.182107384682041,0.02684667050038675,0.08653830815187843,True
0.42,0.81,1.1778868594409788,0.022680214775566816,0.08653830815187843,True
0.42,0.82,1.151636283860465,0.02184253245456924,0.09291274428277127,True
0.42,0.83,1.1312276057930015,0.021403352820370713,0.11577723059084628,True
0.42,0.84,1.1092572797128084,0.02098148548664268,0.13391296332018823,True
0.42,0.85,1.098033260474545,0.020736254132937216,0.13405006837351138,True
0.42,0.86,1.08812409566128,0.020575926597666775,0.1732653384480573,True
0.25,0.25,18.392931893664308,1.0,0.11854355180049961,False
0.25,0.26,17.789880119788258,0.9,0.11769491595892505,False
0.25,0.27,17.225117644149122,0.6837722339831621,0.11793822429829282,False
0.25,0.29,16.695110043439502,0.5358411166387221,0.11818254045409038,False
0.25,0.32,14.664610290574254,0.36904265551980675,0.11818623197306002,False
0.25,0.33,14.664610290574254,0.36904265551980675,0.11818623197306002,False
0.42,0.89,1.0667314671816996,0.02041805920643973,0.22573631731887295,False
0.42,0.9,1.0615140988610006,0.020340030437739333,0.4376586748096509,False
0.42,0.93,1.0573768070115201,0.020262595767251253,1.0,False
0.42,0.94,1.0573768070115201,0.020262595767251253,1.0,False
0.42,0.95,1.0573768070115201,0.020262595767251253,1.0,False
0.42,0.96,1.0573768070115201,0.020262595767251253,1.0,False
0.42,0.97,1.0573768070115201,0.020262595767251253,1.0,False
0.42,0.98,1.0573768070115201,0.020262595767251253,1.0,False
0.42,0.99,1.0573768070115201,0.020262595767251253,1.0,False
0.42,1.0,1.0573768070115201,0.020262595767251253,1.0,False
