t_l,t_h,speedup,ia_risk,copy_risk,delta_miou_ia,delta_accuracy_ia,delta_miou_copy,delta_accuracy_copy,valid
0.25,0.36,13.564757806720868,0.280314326998848,0.11781659641255667,-0.002357142857142857,-0.0381,0.0013608695652173913,0.0017627783669141041,True
0.25,0.37,13.233908085509382,0.280314326998848,0.11694655868134807,-0.002357142857142857,-0.0381,0.001360892667375133,0.0016691817215727948,True
0.25,0.38,12.473334387218882,0.2501057906675442,0.11531635248223572,0.0024500000000000004,-0.0333375,0.0012410256410256408,0.0013221153846153845,True
0.25,0.39,11.795432181802228,0.22573631731887295,0.11593086539288938,0.0010333333333333332,-0.022577777777777776,0.0011258861439312567,0.0014994629430719656,True
0.25,0.4,11.30395334144072,0.2056717652757185,0.11529074493258694,0.0009299999999999999,-0.020319999999999998,0.0014937432578209279,0.001346601941747573,True
0.25,0.41,10.237537737149818,0.16232235993170813,0.11423939472980797,0.002469230769230769,-0.03400769230769231,0.0016275899672846235,0.0012594329334787346,True
0.25,0.46,7.382160585707687,0.15884096649989252,0.11472693478718093,0.0028391304347826084,-0.010391304347826086,0.0010713470319634703,0.0015586757990867577,True
0.25,0.47,6.657529155355025,0.12356999067525615,0.1107018348759519,0.00513,-0.007966666666666667,1.2093023255813654e-05,0.0009427906976744188,True
0.25,0.48,5.962510511011669,0.10380257202819859,0.1081488439987541,0.004272222222222222,-0.009416666666666665,6.527942925089173e-05,0.0007431629013079667,True
0.42,0.48,5.856661865938017,0.09937197978872149,0.1081488439987541,0.005368181818181819,-0.002890909090909091,6.527942925089173e-05,0.0007431629013079667,True
0.25,0.49,5.593694499703605,0.09611330469884567,0.10842383333791357,0.004417948717948718,-0.008692307692307692,0.0002004825090470448,0.0010302774427020504,True
0.42,0.49,5.500433164192026,0.08798916064409026,0.10842383333791357,0.005464,-0.0025440000000000003,0.0002004825090470448,0.0010302774427020504,True
0.42,0.5,5.209948235458866,0.08475268912261104,0.10857450459241494,0.006150000000000001,0.0014000000000000006,0.0003542787286063573,0.0013808068459657701,True
0.42,0.51,4.971275998840226,0.0763291428126138,0.10859523884098597,0.005513793103448276,0.001255172413793104,0.00016311881188118844,0.001384777227722772,True
0.42,0.52,4.554028066558653,0.06548078543946283,0.10863656751521963,0.005205882352941177,-0.008735294117647058,0.00029644670050761466,0.0013364213197969543,True
0.42,0.53,4.267485986900968,0.05879503273193324,0.10949463764274837,0.004657894736842106,-0.00781578947368421,0.0004502590673575132,0.001465544041450777,True
0.25,0.54,4.004339324704666,0.06328738339302221,0.10673075616164177,0.003545,-0.00954,-0.00028377659574468033,0.001500664893617021,True
0.42,0.54,3.9563186639334487,0.048824030878129414,0.10673075616164177,0.003847826086956522,-0.006456521739130435,-0.00028377659574468033,0.001500664893617021,True
0.25,0.55,3.666134432020801,0.0560000020219648,0.10451253585791648,0.003947058823529412,-0.00894264705882353,-0.0005544704264099033,0.001147592847317744,True
0.42,0.55,3.6258420207303588,0.041744145039734955,0.10451253585791648,0.004309259259259259,-0.006161111111111111,-0.0005544704264099033,0.001147592847317744,True
0.25,0.56,3.445002171168257,0.05087399217249879,0.10428139815605485,0.0038000000000000004,-0.008108,-0.00038940677966101654,0.0012418079096045201,True
0.42,0.56,3.409400246013988,0.03704374754009743,0.10428139815605485,0.0040868852459016395,-0.005454098360655737,-0.00038940677966101654,0.0012418079096045201,True
0.42,0.57,3.0803531693662647,0.032820135702455525,0.10791282769463546,0.0036130434782608695,-0.004821739130434782,-0.000350445103857567,0.0015862017804154306,True
0.42,0.58,2.8915702428098675,0.029842813113221966,0.10841198240158137,0.004548684210526316,-0.0030618421052631575,0.0005800307219662056,0.001816589861751152,True
0.42,0.59,2.801976016033512,0.027689718695315856,0.11042926479760871,0.004215853658536586,-0.00283780487804878,0.0009150234741784036,0.0017369327073552428,True
0.42,0.6,2.613058512075207,0.026119327152502734,0.11194604887524529,0.0039057471264367814,-0.002256321839080459,0.0015847790507364974,0.0015148936170212759,True
0.25,0.63,2.2146430270159714,0.044104734015790154,0.10401659454024309,0.003023529411764706,-0.0026369747899159662,-0.001315009380863039,0.0015097560975609755,True
0.42,0.63,2.1998754980740354,0.03653891495736855,0.10401659454024309,0.003086666666666667,-0.0003657142857142851,-0.001315009380863039,0.0015097560975609755,True
0.42,0.64,2.0817135293882982,0.034284680238288,0.10545348582902977,0.0029276785714285715,-0.0016821428571428564,-0.0008409900990099009,0.00034772277227722726,True
0.42,0.65,1.9828177559269515,0.03311716632356576,0.10434834107044429,0.002711206896551724,-0.001624137931034482,-0.0005695198329853861,0.000273068893528184,True
0.42,0.66,1.9061923443075293,0.03150773267788073,0.10694869159811182,0.0026434426229508196,-0.0015442622950819667,-0.000188840262582057,3.085339168490056e-05,True
0.25,0.67,1.8330657043005638,0.03678879678963561,0.09819850237254144,0.002591608391608392,-0.003508391608391609,-0.00017424593967517492,-0.0017252900232018573,True
0.42,0.67,1.8229369583858128,0.029817151986089058,0.09819850237254144,0.002596124031007752,-0.0017542635658914722,-0.00017424593967517492,-0.0017252900232018573,True
0.25,0.68,1.7673857734201721,0.03555990889863535,0.09271764587933706,0.002225675675675676,-0.0033898648648648653,2.982885085574488e-05,-0.002955256723716383,True
0.42,0.68,1.7579679983323062,0.028716561905130788,0.09271764587933706,0.0021917910447761197,-0.0016888059701492533,2.982885085574488e-05,-0.002955256723716383,True
0.42,0.69,1.684297411427749,0.027498547619758555,0.09919730944454352,0.0018142857142857142,-0.00028142857142857114,0.0005638743455497368,-0.0018573298429319389,True
0.42,0.7,1.645976632777827,0.026379648785756396,0.10021347160792828,0.0019164383561643835,-0.0011349315068493152,0.000556948228882833,-0.001985558583106268,True
0.42,0.71,1.5975148719029024,0.025853662516260492,0.10275249687345331,0.0019510067114093962,-0.001230201342281879,0.0003659942363112389,-0.0007619596541786752,True
0.42,0.72,1.5429990663011275,0.024862200460709003,0.10688411604224729,0.0018096774193548388,-0.0014283870967741934,-0.0006269349845201246,0.00015665634674922593,True
0.42,0.73,1.487989344106061,0.023368590881214128,0.10497011630792462,0.0015703030303030304,-0.0010866666666666666,-0.0004508417508417509,-0.0009478114478114488,True
0.42,0.74,1.4367669221533492,0.02204426445231168,0.11489507754460072,0.0014537142857142858,-0.0010542857142857142,-0.001391881918819188,0.0012933579335793347,True
0.42,0.79,1.2412076760189046,0.024564340656599248,0.09955169085254344,0.001336744186046512,-0.001186976744186046,-0.0034861842105263167,0.0014032894736842078,True
0.42,0.8,1.2080457537519615,0.023795592442911132,0.09953892836264097,0.0012364864864864863,-0.0010207207207207204,-0.0045562499999999995,-0.0016046875000000041,True
0.25,0.81,1.182107384682041,0.02684667050038675,0.08653830815187843,0.0010263157894736842,-0.0013518218623481781,-0.005218095238095239,-0.0032409523809523847,True
0.42,0.81,1.1778868594409788,0.022680214775566816,0.08653830815187843,0.0009347639484978541,-0.0002510729613733903,-0.005218095238095239,-0.0032409523809523847,True
0.42,0.82,1.151636283860465,0.02184253245456924,0.09291274428277127,0.00078099173553719,-0.00033388429752066084,-0.005327380952380954,-0.003022619047619049,True
0.42,0.83,1.1312276057930015,0.021403352820370713,0.11577723059084628,0.0007368421052631579,-0.00038582995951417,-0.002976119402985078,0.0007537313432835786,True
0.42,0.84,1.1092572797128084,0.02098148548664268,0.13391296332018823,0.000654761904761905,-0.0008555555555555556,-0.004287500000000007,0.000247916666666666,True
0.42,0.85,1.098033260474545,0.020736254132937216,0.13405006837351138,0.0007607843137254901,-0.0007686274509803917,-0.0018315789473684239,0.004668421052631578,True
0.42,0.86,1.08812409566128,0.020575926597666775,0.1732653384480573,0.0008287937743190662,-0.0007178988326848244,-0.002675862068965521,0.005237931034482766,True
0.42,0.89,1.0667314671816996,0.02041805920643973,0.22573631731887295,0.000754826254826255,-0.0006513513513513517,-0.01317777777777777,-0.005577777777777774,True
0.25,0.25,18.392931893664308,1.0,0.11854355180049961,,,0.0015530082987551869,0.0012956431535269706,False
0.25,0.26,17.789880119788258,0.9,0.11769491595892505,0.0,0.0,0.001506860706860707,0.0014311850311850315,False
0.25,0.27,17.225117644149122,0.6837722339831621,0.11793822429829282,-0.0015,0.0,0.0015224999999999998,0.0013597916666666665,False
0.25,0.29,16.695110043439502,0.5358411166387221,0.11818254045409038,0.0011,0.0,0.0015059498956158663,0.001462108559498956,False
0.25,0.32,14.664610290574254,0.36904265551980675,0.11818623197306002,-0.00088,-0.05334,0.0015423603793466806,0.0013236037934668073,False
0.25,0.33,14.664610290574254,0.36904265551980675,0.11818623197306002,-0.00088,-0.05334,0.0015423603793466806,0.0013236037934668073,False
0.42,0.9,1.0615140988610006,0.020340030437739333,0.4376586748096509,0.0007276923076923078,-0.0005230769230769233,0.012699999999999989,0.005449999999999983,False
0.42,0.93,1.0573768070115201,0.020262595767251253,1.0,0.000767432950191571,-0.0005210727969348657,,,False
0.42,0.94,1.0573768070115201,0.020262595767251253,1.0,0.000767432950191571,-0.0005210727969348657,,,False
0.42,0.95,1.0573768070115201,0.020262595767251253,1.0,0.000767432950191571,-0.0005210727969348657,,,False
0.42,0.96,1.0573768070115201,0.020262595767251253,1.0,0.000767432950191571,-0.0005210727969348657,,,False
0.42,0.97,1.0573768070115201,0.020262595767251253,1.0,0.000767432950191571,-0.0005210727969348657,,,False
0.42,0.98,1.0573768070115201,0.020262595767251253,1.0,0.000767432950191571,-0.0005210727969348657,,,False
0.42,0.99,1.0573768070115201,0.020262595767251253,1.0,0.000767432950191571,-0.0005210727969348657,,,False
0.42,1.0,1.0573768070115201,0.020262595767251253,1.0,0.000767432950191571,-0.0005210727969348657,,,False
