max_ia_risk,max_copy_risk,min_speedup,t_l,t_h,speedup,ia_risk,copy_risk,delta_miou_ia,delta_accuracy_ia,delta_miou_copy,delta_accuracy_copy
0.1,0.1,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.15,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.2,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.25,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.3,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.35,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.4,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.45,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.5,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.55,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.6,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.65,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.7,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.75,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.8,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.85,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.9,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,0.95,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.1,1.0,,0.74,0.84,1.3286848909237814,0.0986663140324283,0.027062280151532055,0.019351737451737454,0.016102702702702705,-0.000148717948717946,-0.004276923076923073
0.15,0.1,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.1,2.0,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.15,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.15,2.0,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.2,,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
0.15,0.2,2.0,0.29,0.83,2.6873815050411802,0.14958029920525473,0.019307066435143006,0.020491059147180194,0.02322022008253095,-0.00018321167883211283,-0.0032857664233576626
